,File,Count,Location,Emotions
214,../images/43763960_1575324933290677_r.jpg,1,"[(304, 613, 490, 428)]",['Happy']
215,../images/43767010_1575155953191396_r.jpg,0,[],
216,../images/43772292_1575323067245428_r.jpg,1,"[(139, 448, 325, 262)]",['Surprise']
217,../images/43782952_157581538318397_r.jpg,1,"[(337, 958, 1136, 159)]",['Surprise']
218,../images/43795720_1577065365719875_r.jpg,0,[],
219,../images/43799832_1575273438830761_r.jpg,0,[],
220,../images/43817768_1576876166658801_r.jpg,1,"[(290, 846, 675, 461)]",['Surprise']
221,../images/43818368_15765311112108_r.jpg,1,"[(0, 2001, 937, 1043)]",['Fear']
222,../images/43823120_1575428321442989_r.jpg,1,"[(726, 1589, 1281, 1034)]",['Angry']
223,../images/43829580_1575748761392906_r.jpg,3,"[(348, 1991, 811, 1529), (965, 2505, 1427, 2043), (675, 1231, 1060, 846)]","['Fear', 'Angry', 'Fear']"
224,../images/43830050_1575375205454544_r.jpg,4,"[(178, 625, 214, 589), (74, 397, 110, 361), (190, 181, 226, 145), (194, 799, 238, 756)]","['Surprise', 'Surprise', 'Happy', 'Happy']"
225,../images/43839828_1575661466109459_r.jpg,1,"[(919, 1846, 1240, 1525)]",['Fear']
226,../images/43842090_1575404999641715_r.jpg,0,[],
